Helység,Törzskörméret (cm),Megye,GPS adat,Mérés éve,Faj,"Megjegyzés, újabb mérés, nyomravezető"
Börzsöny (Diósjenő),509,Nógrád,"47,57,13-18,57,53",2012,közönséges bükk,Torma Zoltánné
Taliándörögd,508,Veszprém,"46,58,50-17,33,12",2014,közönséges bükk,Sólyom Attila
Pölöske,508,Zala,"46,44,03-16,52,22",2004,közönséges bükk,509/2007; a három főágból csak egy él
Sáska,507,Veszprém,"46,58,57-17,30,01",2008,közönséges bükk,Baranyai László
Csesznek,507,Veszprém,"47,19,19-17,52,59",2008,közönséges bükk,Gézaházán
Ajka,507,Veszprém,"47,04,54-17,34,09",2013,közönséges bükk,Gyurman Csaba
Csesznek,507,Veszprém,"47,19,56-17,52,58",2009,közönséges bükk,Baranyai László; Esterházy-bükk; 517/2013
Zalaszántó,505,Zala,"46,54,30-17,15,37",2017,közönséges bükk,"Torma Zoltán, Torma Zoltánné"
Herend,505,Veszprém,"47,08,46-17,45,40",2008,közönséges bükk,Baranyai László
Balatoncsicsó/Hamuház,505,Veszprém,"46,56,13-17,38,56",2002,közönséges bükk,512/2007; 526/2010
Sajókaza,504,Borsod-Abaúj-Zemplén,"48,17,00-20,35,01",2013,közönséges bükk,"Torma Ágnes, Torma Zoltánné, Torma Zoltán; vérbükk; 2022: kidőlt"
Telkibánya,504,Borsod-Abaúj-Zemplén,"48,29,03-21,21,01",2013,közönséges bükk,
Börzsöny (Diósjenő),504,Nógrád,"47,56,57-18,57,48",2012,közönséges bükk,
Miskolc,504,Borsod-Abaúj-Zemplén,"48,06,06-20,35,04",2009,közönséges bükk,Molnár Bence és Zoltán; 2022: egy ága még él
Zirc,503,Veszprém,"47,15,37-17,52,57",2004,közönséges bükk,521/2010
Olaszfalu,503,Veszprém,"47,13,47-17,56,11",2010,közönséges bükk,Jandala Attila
Úrkút,502,Veszprém,"47,04,50-17,37,59",2013,közönséges bükk,"Jandala Attila, Józsa Balázs, Sütő Krisztián"
Lad,502,Somogy,"46,08,51-17,38,58",2009,közönséges bükk,"Lukács Róbert; 520/2014, 532/2017, 544/2023"
Sáska,502,Veszprém,"46,57,14-17,29,50",2021,közönséges bükk,"Baranyai László, Karácsonyi Éva, Pósfai Mihály; magasság: 27 m/2021"
Füzér,501,Borsod-Abaúj-Zemplén,"48,34,42-21,26,16",2019,közönséges bükk,"Torma Zoltánné, Torma Zoltán"
Sáska,501,Veszprém,"46,58,19-17,30,01",2008,közönséges bükk,Baranyai László
Sáska,500,Veszprém,"46,58,41-17,29,50",2008,közönséges bükk,Baranyai László; 2020: elpusztult (Teket Attila)
Sáska,500,Veszprém,"46,58,57-17,29,55",2008,közönséges bükk,Baranyai László
Bükkszentkereszt,500,Borsod-Abaúj-Zemplén,"48,02,25-20,37,27",2016,közönséges bükk,Kiss Antal és Miklós
Pusztamarót,500,Komárom-Esztergom,"47,41,12-18,31,16",2008,közönséges bükk,Argai Sándor
Vajdácska (Sátoraljaújhely),499,Borsod-Abaúj-Zemplén,"48,20,21-21,38,40",2007,közönséges bükk,"Molnár Bence és Zoltán, Long-erdőben, egyik Háromhonvéd-fa"
Ugod,496,Veszprém,"47,16,55-17,41,13",2007,közönséges bükk,
Komló,495,Baranya,"46,11,36-18,16,46",2019,közönséges bükk,"Baráth Miklós, Baráth-Rigler Ármin; 2023-ban kidőlt (Baráth Miklós)"
Sáska,495,Veszprém,"46,58,55-17,30,08",2008,közönséges bükk,Baranyai László; 2020: elpusztult (Teket Attila)
Budapest,494,Pest,"47,30,37-18,57,40",2011,közönséges bükk,"Őry Gábor, Baranyai László; 2025: kidőlt (Bárány Tamás)"
Börzsöny (Diósjenő),494,Nógrád,"47,56,58-18,57,46",2012,közönséges bükk,
Bükkszentkereszt,494,Borsod-Abaúj-Zemplén,"48,02,35-20,37,30",2016,közönséges bükk,Kiss Antal és Miklós
Taliándörögd,492,Veszprém,"46,58,47-17,33,11",2014,közönséges bükk,Sólyom Attila
Ajka,492,Veszprém,"47,04,51-17,34,09",2013,közönséges bükk,Gyurman Csaba
Pénzesgyőr,491,Veszprém,"47,12,54-17,47,38",2009,közönséges bükk,515/2022
Bucsuta,490,Zala,"46,35,07-16,50,33",2020,közönséges bükk,"Torma Zoltánné, Torma Zoltán"
Püspökszentlászló,490,Baranya,"46,11,01-18,21,39",2011,közönséges bükk,MDT
Szentgál,490,Veszprém,"47,12,27-17,43,36",2015,közönséges bükk,"Baranyai László, Jandala Attila"
Bükkszentkereszt,490,Borsod-Abaúj-Zemplén,"48,02,32-20,37,33",2016,közönséges bükk,Kiss Antal és Miklós
Gyöngyösoroszi,490,Heves,"47,52,31-19,50,20",2012,közönséges bükk,Zsíros Sándor
Szentgál,488,Veszprém,"47,04,35-17,45,20",2022,közönséges bükk,Józsa Balázs
Úrkút,488,Veszprém,"47,04,48-17,37,58",2013,közönséges bükk,"Jandala Attila, Józsa Balázs, Sütő Krisztián"
Sikonda,488,Baranya,"46,10,28-18,14,04",2008,közönséges bükk,Lukács Róbert
Sáska,487,Veszprém,"46,58,57-17,30,03",2008,közönséges bükk,Baranyai László; 2020: elpusztult (Teket Attila)
Becsehely,487,Zala,"46,28,34-16,48,20",2013,közönséges bükk,Csóbor Ákos
Becsehely,485,Zala,"46,28,27-16,48,15",2013,közönséges bükk,Csóbor Ákos
Püspökszentlászló,485,Baranya,"46,10,58-18,21,36*",2005,közönséges bükk,"2011: elpusztult, csak a törzscsonk maradt."
Salgótarján,485,Nógrád,"48,09,30-19,53,01*",2012,közönséges bükk,Jandala Attila
Bükkszentkereszt,485,Borsod-Abaúj-Zemplén,"48,02,36-20,37,21",2016,közönséges bükk,Kiss Antal és Miklós
Börzsöny (Diósjenő),484,Nógrád,"47,56,59-18,57,54",2012,közönséges bükk,
Bükkszentkereszt,484,Borsod-Abaúj-Zemplén,"48,02,34-20,37,41",2016,közönséges bükk,Kiss Antal és Miklós
Rigyác,484,Zala,"46,29,06-16,51,41",2012,közönséges bükk,
Gamás,484,Somogy,"46,38,39-17,46,51",2014,közönséges bükk,Sólyom Attila
Füzér,483,Borsod-Abaúj-Zemplén,"48,32,44-21,27,49",2018,közönséges bükk,"Szél Győző, Torma Zoltán, Torma Zoltánné, Torma Ágnes; magasság: 33 m/2018"
Felsőmarác,482,Vas,"46,57,37-16,32,27",2007,közönséges bükk,
Tatabánya,480,Komárom-Esztergom,"47,30,50-18,28,21",2017,közönséges bükk,"Szél Győző, Papp Tibor, Torma Zoltánné, Torma Zoltán"
Bélapátfalva,480,Heves,"48,02,16-20,21,12",2017,közönséges bükk,"Torma Zoltánné, Torma Zoltán; kettős törzsű, egyik oldalról alacsonyan elágazó"
Bükkszentkereszt,480,Borsod-Abaúj-Zemplén,"48,02,29-20,37,21",2016,közönséges bükk,Kiss Antal és Miklós; 473/2007
Bükkszentkereszt,479,Borsod-Abaúj-Zemplén,"48,02,32-20,37,28",2016,közönséges bükk,Kiss Antal és Miklós
Pénzesgyőr,478,Veszprém,"47,12,44-17,47,40",2022,közönséges bükk,Teket Attila
Pénzesgyőr,478,Veszprém,"47,12,41-17,47,46",2022,közönséges bükk,Teket Attila
Ajka,478,Veszprém,"47,04,53-17,34,08",2013,közönséges bükk,Gyurman Csaba
Pénzesgyőr,477,Veszprém,"47,12,44-17,47,26",2006,közönséges bükk,Szabó Péter
Sikonda,477,Baranya,"46,10,28-18,13,46",2008,közönséges bükk,Lukács Róbert
Bükkszentkereszt,476,Borsod-Abaúj-Zemplén,"48,02,28-20,37,33",2016,közönséges bükk,Kiss Antal és Miklós
Sáska,476,Veszprém,"46,58,58-17,29,55",2008,közönséges bükk,Baranyai László
Szilvásvárad,476,Heves,"48,05,21-20,24,14",2004,közönséges bükk,
Sáska,476,Veszprém,"46,58,55-17,30,36",2008,közönséges bükk,Baranyai László
Sáska,476,Veszprém,"46,58,54-17,30,02",2008,közönséges bükk,Baranyai László; 2020: elpusztult (Teket Attila)
Zalaszántó,476,Zala,"46,54,29-17,15,31",2004,közönséges bükk,Fodor Péter 2016: kidőlt
Eszteregnye,476,Zala,"46,29,16-16,52,49",2010,közönséges bükk,Csóbor Ákos; kidőlt 2011-2017 között (Nagy Dániel)
Pénzesgyőr,475,Veszprém,"47,12,34-17,47,23",2009,közönséges bükk,Baranyai László
Füzér,475,Borsod-Abaúj-Zemplén,"48,34,38-21,26,16",2018,közönséges bükk,"Torma Zoltán, Torma Zoltánné, Torma Ágnes"
Ajka,474,Veszprém,"47,04,57-17,34,13",2013,közönséges bükk,Gyurman Csaba
Hárskút,474,Veszprém,"47,11,52-17,46,01",2022,közönséges bükk,Teket Attila
Parádsasvár,474,Heves,"47,55,17-19,56,09",2012,közönséges bükk,"Baranyai László, Szél Győző; romos, Rudolf-tanya felé; 483/2014, 470/2025"
Gyöngyös,474,Heves,"47,52,18-20,00,17",2025,közönséges bükk,"Baranyai László, Szél Győző; Kékestetőn 970 m magasságban"
Püspökszentlászló,473,Baranya,"46,11,02-18,21,48",2011,közönséges bükk,MDT
Hárskút/Ráktanya,473,Veszprém,"47,12,18-17,45,40",2004,közönséges bükk,
Farkasgyepű,473,Veszprém,"47,11,43-17,38,25",2023,közönséges bükk,Teket Attila
Pénzesgyőr,473,Veszprém,"47,12,51-17,47,18",2009,közönséges bükk,510/2022
Szentpéterúr,473,Zala,"46,44,13-17,03,2",2024,közönséges bükk,Nagy Dániel (Őrségi NP)
Salgótarján,473,Nógrád,"48,04,58-19,50,20*",2012,közönséges bükk,Jandala Attila
Lókút,472,Veszprém,"47,12,29-17,52,34",2010,közönséges bükk,Baranyai László
Pölöske,472,Zala,"46,41,54-16,54,51",2004,közönséges bükk,
Abaliget,472,Baranya,"46,08,08-18,07,16",2017,közönséges bükk,"Madarász Erik, Elblinger Ferenc; összenőtt törzsek, mind együtt 602 cm"
Füzér,472,Borsod-Abaúj-Zemplén,"48,34,41-21,26,18",2019,közönséges bükk,"Torma Zoltánné, Torma Zoltán"
Úrkút,472,Veszprém,"47,04,45-17,38,10",2013,közönséges bükk,"Jandala Attila, Józsa Balázs, Sütő Krisztián; 528/2025"
Pénzesgyőr,471,Veszprém,"47,12,26-17,47,41",2022,közönséges bükk,Teket Attila
Csurgónagymarton,471,Somogy,"46,17,55-17,05,37",2008,közönséges bükk,"Detrich Miklós, Papp József; 2018-ban már nincsen meg"
Olaszfalu,471,Veszprém,"47,13,59-17,54,40",2010,közönséges bükk,Jandala Attila
Herend,471,Veszprém,"47,09,29-17,46,45",2008,közönséges bükk,Baranyai László
Bükkszentkereszt,470,Borsod-Abaúj-Zemplén,"48,02,40-20,37,21",2016,közönséges bükk,Kiss Antal és Miklós; 449/2007
Herend,470,Veszprém,"47,09,30-17,46,45",2008,közönséges bükk,Baranyai László
Ajka,470,Veszprém,"47,04,52-17,34,12",2013,közönséges bükk,Gyurman Csaba
Pénzesgyőr,470,Veszprém,"47,12,47-17,47,23",2009,közönséges bükk,Baranyai László
Somogyviszló,469,Baranya,"46,07,44-17,46,37",2009,közönséges bükk,Lukács Róbert
Pénzesgyőr,468,Veszprém,"47,12,49-17,47,19",2022,közönséges bükk,Teket Attila
Sáska,468,Veszprém,"46,58,38-17,29,54",2008,közönséges bükk,Baranyai László; 2020: elpusztult (Teket Attila)
Hárskút,468,Veszprém,"47,11,10-17,46,21",2008,közönséges bükk,Baranyai László
Hárskút**,468,Veszprém,"47,11,56-17,48,26",2010,közönséges bükk,Baranyai László
Püspökszentlászló,468,Baranya,"46,11,00-18,21,35",2011,közönséges bükk,MDT
Úrkút,468,Veszprém,"47,04,42-17,37,54",2013,közönséges bükk,Sütő Krisztián
Bánkút (Miskolc),467,Borsod-Abaúj-Zemplén,"48,04,59-20,29,37",2009,közönséges bükk,
Ivánc,467,Vas,"46,56,51-16,30,14",2021,közönséges bükk,
Bakonyszentkirály,466,Veszprém,"47,21,45-17,49,41",2021,közönséges bükk,"Elblinger Ferenc, Torma Zoltánné, Torma Zoltán, Jandala Attila"
Budapest,466,Pest,"47,31,21-18,57,18",2013,közönséges bükk,Szél Győző
Olaszfalu,466,Veszprém,"47,13,42-17,56,16",2010,közönséges bükk,Jandala Attila
Sáska,465,Veszprém,"46,58,25-17,29,40",2008,közönséges bükk,Baranyai László
Váralja,465,Tolna,"46,14,45-18,25,04",2012,közönséges bükk,486/2015; 481/2019; 494/2025
Herend,465,Veszprém,"47,08,59-17,45,59",2008,közönséges bükk,Baranyai László
Püspökszentlászló,465,Baranya,"46,11,01-18,21,40",2011,közönséges bükk,MDT
Ajka,464,Veszprém,"47,05,02-17,34,16",2013,közönséges bükk,Gyurman Csaba
Galyatető,464,Heves,"47,54,57-19,54,03",2014,közönséges bükk,"Torma Zoltán, Torma Zoltánné"
Salgótarján,464,Nógrád,"48,08,14-19,53,13",2012,közönséges bükk,SDT
Zirc/Akli,464,Veszprém,"47,14,08-17,49,26",2013,közönséges bükk,Jandala Attila
Szentgál**,463,Veszprém,"47,10,57-17,43,21",2023,közönséges bükk,Teket Attila
Ajka,463,Veszprém,"47,05,22-17,36,31",2019,közönséges bükk,Józsa Balázs
Hárskút,463,Veszprém,"47,12,30-17,46,11",2022,közönséges bükk,Teket Attila
Ajka,462,Veszprém,"47,04,57-17,34,14",2013,közönséges bükk,Gyurman Csaba
Bükkszentkereszt,462,Borsod-Abaúj-Zemplén,"48,02,27-20,37,24",2016,közönséges bükk,Kiss Antal és Miklós
Bükkszentkereszt,462,Borsod-Abaúj-Zemplén,"48,02,37-20,37,20",2016,közönséges bükk,Kiss Antal és Miklós
Kab-hegy,462,Veszprém,"47,02,48-17,40,54",2006,közönséges bükk,Sonnevend Imre
Úrkút,462,Veszprém,"47,04,48-17,37,52",2013,közönséges bükk,Sütő Krisztián
Nagybörzsöny,462,Nógrád,"47,55,14-18,51,29",2016,közönséges bükk,Szél Győző
Orosztony,462,Zala,"46,36,06-17,04,07",2012,közönséges bükk,"Vissi Géza, Baranyai László; 2023: kidőlve"
Cserénfa,461,Somogy,"46,18,40-17,52,09",2019,közönséges bükk,"Balogh Béla, Schmidt András"
Gadány,461,Somogy,"46,30,12-17,23,25",2010,közönséges bükk,"Nemcsok Tamás, Kocsis László"
Acsád,460,Vas,"47,19,23-16,43,58",2006,közönséges bükk,"480/2010, 482/2014"
Németbánya,460,Veszprém,"47,12,30-17,38,43",2023,közönséges bükk,Teket Attila
Tardos,460,Komárom-Esztergom,"47,39,15-18,25,23",2013,közönséges bükk,Baranyai László
Pénzesgyőr,460,Veszprém,"47,12,51-17,47,17",2009,közönséges bükk,495/2022
Hárskút,460,Veszprém,"47,12,05-17,46,43",2022,közönséges bükk,Teket Attila
Borsodnádasd,460,Borsod-Abaúj-Zemplén,"48,05,40-20,13,49",2010,közönséges bükk,Csizmadia János; 483/2019; magasság: 35 m/2019
Szentgál,460,Veszprém,"47,12,18-17,43,37",2015,közönséges bükk,"Baranyai László, Torma Zoltán"
Sáska,459,Veszprém,"46,58,41-17,29,53",2008,közönséges bükk,Baranyai László; 2020: elpusztult (Teket Attila)
Borsodnádasd,459,Borsod-Abaúj-Zemplén,"48,05,39-20,13,53",2019,közönséges bükk,"Boza Donát, Torma Zoltán"
Bükkszentkereszt,458,Borsod-Abaúj-Zemplén,"48,02,40-20,37,11",2016,közönséges bükk,Kiss Antal és Miklós; 462/2007 - kitörött egy rész 2016-ra
Szentgál,458,Veszprém,"47,11,47-17,43,29",2023,közönséges bükk,Teket Attila
Hárskút,458,Veszprém,"47,11,52-17,46,01",2022,közönséges bükk,Teket Attila
Bükkszentkereszt,458,Borsod-Abaúj-Zemplén,"48,02,33-20,37,26",2016,közönséges bükk,Kiss Antal és Miklós
Salgótarján,457,Nógrád,"48,09,14-19,53,25",2012,közönséges bükk,Jandala Attila
Úrkút,457,Veszprém,"47,04,11-17,37,53",2013,közönséges bükk,"Jandala Attila, Józsa Balázs, Sütő Krisztián"
Ajka,456,Veszprém,"47,05,00-17,34,16",2013,közönséges bükk,Gyurman Csaba
Salgótarján,456,Nógrád,"48,08,41-19,51,01",2013,közönséges bükk,
Hárskút,456,Veszprém,"47,11,33-17,48,29",2010,közönséges bükk,Baranyai László
Vásárosbéc,455,Baranya,"46,10,09-17,43,35",2009,közönséges bükk,Lukács Róbert
Bükkszentkereszt,455,Borsod-Abaúj-Zemplén,"48,02,33-20,37,28",2016,közönséges bükk,Kiss Antal és Miklós
Sáska,455,Veszprém,"46,58,15-17,29,38",2009,közönséges bükk,Baranyai László
Bükkszentkereszt,455,Borsod-Abaúj-Zemplén,"48,02,36-20,37,19",2016,közönséges bükk,Kiss Antal és Miklós
Bükkszentkereszt,455,Borsod-Abaúj-Zemplén,"48,02,31-20,37,24",2016,közönséges bükk,Kiss Antal és Miklós
Magyaregregy,454,Baranya,"46,15,01-18,16,42",2012,közönséges bükk,Deáky Péter
Csákberény,453,Fejér,"47,22,52-18,19,41",2011,közönséges bükk,Baranyai László; 2020: kidőlt (Szél Győző)
Galyatető,453,Heves,"47,54,54-19,54,49",2012,közönséges bükk,"Baranyai László, Szél Győző; 923 m magasan található, talán a legmagasabban fekvő listás fánk."
Kislőd,453,Veszprém,"47,07,38-17,37,17",2019,közönséges bükk,"Jandala Attila, Sütő Krisztián"
Börzsöny (Szokolya),453,Pest,"47,56,06-18,56,17",2004,közönséges bükk,"466/2011, korhad"
Bükkszentkereszt,453,Borsod-Abaúj-Zemplén,"48,02,40-20,37,11",2016,közönséges bükk,Kiss Antal és Miklós; 438/2007
Bükkszentkereszt,452,Borsod-Abaúj-Zemplén,"48,02,49-20,37,49",2016,közönséges bükk,Kiss Antal és Miklós; 510/2022
Kisgyőr,452,Borsod-Abaúj-Zemplén,"48,02,38-20,37,09",2019,közönséges bükk,"Torma Zoltánné, Torma Zoltán"
Zirc/Akli,451,Veszprém,"47,14,14-17,49,29",2013,közönséges bükk,Jandala Attila
Bükkszentkereszt,450,Borsod-Abaúj-Zemplén,"48,02,36-20,37,33",2016,közönséges bükk,Kiss Antal és Miklós
Borsodnádasd,450,Borsod-Abaúj-Zemplén,"48,05,46-20,14,05",2010,közönséges bükk,Csizmadia János
Sikonda,450,Baranya,"46,10,21-18,14,01",2008,közönséges bükk,Lukács Róbert
Zalaszántó,450,Zala,"46,54,30-17,15,36",2017,közönséges bükk,"Torma Zoltán, Torma Zoltánné"
Kárász,450,Baranya,"46,16,09-18,18,15",2010,közönséges bükk,Jandala Attila; 2024: már nem él (Lukács Róbert)
Abaliget,450,Baranya,"46,08,07-18,07,12",2017,közönséges bükk,"Madarász Erik, Elblinger Ferenc"
Zirc,450,Veszprém,"47,15,37-17,52,57*",2004,közönséges bükk,
Lengyel,449,Tolna,"46,22,43-18,22,14",2007,közönséges bükk,
Szőcsénypuszta,449,Somogy,"46,32,15-17,19,26",2008,közönséges bükk,Balogh Béla
Sikonda,449,Baranya,"46,10,20-18,13,56",2008,közönséges bükk,Lukács Róbert
Lad,449,Somogy,"46,08,52-17,38,59",2003,közönséges bükk,"469/2009, 499/2017, 488/2023"
Szentgál,448,Veszprém,"47,12,11-17,43,41",2015,közönséges bükk,"Baranyai László, Torma Zoltánné"
Füzér,448,Borsod-Abaúj-Zemplén,"48,34,26-21,26,14",2018,közönséges bükk,"Torma Zoltán, Torma Zoltánné"
Bükkszentkereszt,448,Borsod-Abaúj-Zemplén,"48,02,40-20,37,13",2016,közönséges bükk,Kiss Antal és Miklós
Sárszentmihály,447,Fejér,"47,09,07-18,20,01",2007,közönséges bükk,"alig él, Baranyai László; 2012: nincs élet benne"
Csatka,447,Komárom-Esztergom,"47,22,39-17,59,20",2022,közönséges bükk,"Torma Zoltánné, Torma Zoltán"
Börzsöny (Diósjenő),447,Nógrád,"47,56,57-18,57,48",2012,közönséges bükk,
Ajka,446,Veszprém,"47,04,54-17,34,04",2013,közönséges bükk,Gyurman Csaba
Salgótarján,446,Nógrád,"48,08,10-19,53,12",2012,közönséges bükk,Jandala Attila
Balatonhenye,446,Veszprém,"46,54,38-17,36,21",2003,közönséges bükk,450/2007
Püspökszentlászló,446,Baranya,"46,11,00-18,21,40",2011,közönséges bükk,MDT
Sáska,446,Veszprém,"46,58,13-17,29,28",2008,közönséges bükk,Baranyai László; 2020: elpusztult (Teket Attila)
Salgótarján,445,Nógrád,"48,09,32-19,53,03*",2012,közönséges bükk,Lukács Róbert
Lókút,445,Veszprém,"47,12,38-17,52,42",2010,közönséges bükk,Baranyai László
Sikonda,445,Baranya,"46,10,30-18,14,02",2008,közönséges bükk,Lukács Róbert
Sáska,445,Veszprém,"46,58,13-17,29,48",2009,közönséges bükk,Baranyai László
Úrkút/Zsófiapuszta,445,Veszprém,"47,04,26-17,40,14",2013,közönséges bükk,Sütő Krisztián
Csurgónagymarton,445,Somogy,"46,18,02-17,05,33",2018,közönséges bükk,DT2018
Zselickisfalud,445,Somogy,"46,14,48-17,44,13",2006,közönséges bükk,"Detrich Miklós, Pintér Ottó; 2018: élettelen csonk (Balogh Béla)"
Ajka,445,Veszprém,"47,04,55-17,34,08",2013,közönséges bükk,Gyurman Csaba
Kőszeg,445,Vas,"47,24,18-16,30,55",2025,közönséges bükk,Nagy Dániel
Szuha,444,Nógrád,"47,56,38-19,56,00",2003,közönséges bükk,445/2008; rossz állapotban
Kisgyőr,444,Borsod-Abaúj-Zemplén,"48,02,29-20,37,16",2019,közönséges bükk,"Torma Zoltánné, Torma Zoltán"
Püspökszentlászló,444,Baranya,"46,11,02-18,21,40",2011,közönséges bükk,MDT
Bükkszentkereszt,444,Borsod-Abaúj-Zemplén,"48,02,39-20,37,38",2016,közönséges bükk,Kiss Antal és Miklós
Salgótarján,444,Nógrád,"48,08,59-19,52,02",2012,közönséges bükk,Drexler Szilárd
Borsodnádasd,444,Borsod-Abaúj-Zemplén,"48,05,40-20,14,04",2010,közönséges bükk,Csizmadia János
Pénzesgyőr,444,Veszprém,"47,12,40-17,47,38",2009,közönséges bükk,Baranyai László
Bükk-fennsík (Nagyvisnyó),443,Heves,"48,04,39-20,28,31",2009,közönséges bükk,
Salgótarján,443,Nógrád,"48,08,14-19,53,20",2012,közönséges bükk,SDT
Szentgál,442,Veszprém,"47,12,13-17,43,43",2015,közönséges bükk,Sütő Krisztián
Bükkszentkereszt,442,Borsod-Abaúj-Zemplén,"48,02,32-20,37,24",2016,közönséges bükk,Kiss Antal és Miklós
Miskolc,442,Borsod-Abaúj-Zemplén,"48,06,05-20,35,04",2022,közönséges bükk,"Torma Ágnes, Torma Zoltánné, Torma Zoltán"
Pénzesgyőr,442,Veszprém,"47,12,39-17,48,20",2022,közönséges bükk,Teket Attila
Kisgyőr,442,Borsod-Abaúj-Zemplén,"48,02,25-20,36,08",2019,közönséges bükk,"Torma Zoltánné, Torma Zoltán"
Bükkszentkereszt,442,Borsod-Abaúj-Zemplén,"48,02,30-20,37,30",2016,közönséges bükk,Kiss Antal és Miklós
Töröcske,442,Somogy,"46,17,48-17,47,29",2020,közönséges bükk,Schmidt Péter
Püspökszentlászló,442,Baranya,"46,10,55-18,21,34",2011,közönséges bükk,MDT
Abaliget,442,Baranya,"46,08,07-18,06,56",2017,közönséges bükk,"Madarász Erik, Elblinger Ferenc"
Salgótarján,441,Nógrád,"48,09,53-19,51,49*",2012,közönséges bükk,Jandala Attila
Püspökszentlászló,441,Baranya,"46,11,03-18,21,41",2011,közönséges bükk,MDT
Bélavár,441,Somogy,"46,07,58-17,13,11",2011,közönséges bükk,"Lukács Róbert, Szél Győző; 443/2016"
Salgótarján,441,Nógrád,"48,09,18-19,53,06*",2012,közönséges bükk,Jandala Attila
Kisgyőr,441,Borsod-Abaúj-Zemplén,"48,02,36-20,36,07",2019,közönséges bükk,"Torma Zoltánné, Torma Zoltán"
Hárskút,441,Veszprém,"47,11,46-17,48,21",2010,közönséges bükk,Baranyai László
Csepreg,440,Vas,"47,23,50-16,39,44",2007,közönséges bükk,
Pénzesgyőr,440,Veszprém,"47,12,32-17,47,57",2022,közönséges bükk,Teket Attila
Abaliget,440,Baranya,"46,08,05-18,07,06",2017,közönséges bükk,"Madarász Erik, Elblinger Ferenc"
Pénzesgyőr,440,Veszprém,"47,12,20-17,48,26",2010,közönséges bükk,"Baranyai László, Jandala Attila"
